symbol,first_close,last_close,total_log_return,close_min,close_max,price_range_ratio,logret_mean,logret_std,logret_abs_mean,logret_zero_frac,volume_sum,volume_nonzero_frac,volume_max
CB,103.89,334.27,1.1686164025620485,89.35,336.87,2.382519973048417,4.098970194883745e-05,0.004781358949155551,0.0021579679312963844,0.3193616274991231,6535489817.0,0.9998947737635917,8859186.0
ALL,70.63,208.72,1.083538657407642,56.83,216.14,2.2555571286988534,3.800556497392791e-05,0.004887400299659033,0.0023238312874854896,0.3214661522272887,7643976876.0,0.9999649245878639,3769366.0
CSCO,27.88,79.225,1.044382319684661,22.5,87.94,2.3472022955523673,3.663214029050512e-05,0.0049964579384531044,0.002362269125173702,0.3246930901438092,79984855474.0,0.9997544721150473,36577076.0
LH,112.305,281.86,0.9201921094126068,98.9,316.38,1.936512176661769,3.2276117482007786e-05,0.005368285579057848,0.00257651110046708,0.3181339880743599,3140082064.0,0.9997544721150473,1313737.0
CHKP,78.74,152.93,0.6638290148444406,71.83,233.58,2.054229108458217,2.3284076283542765e-05,0.004994726991215446,0.0024709124082340785,0.3202034373903893,4392970059.0,0.9997544721150473,2853878.0
AGNC,21.96,11.2801,-0.6661825053624864,6.82,22.315,0.7056010928961749,-2.3366625933293105e-05,0.006073204601955324,0.0022733352088059626,0.3544721150473518,35617692262.0,1.0,17920178.0
SBUX,41.28,97.81,0.8626487001290942,39.34,126.1,2.101744186046511,3.0257758685642503e-05,0.005576856667841367,0.0025444178497434954,0.32072956857243073,33456089666.0,0.9999298491757278,57917936.0
OTEX,29.285,24.53,-0.17717858127134767,18.45,55.17,1.2538842410790507,-6.214611759757982e-06,0.005603667393507833,0.0025917378778019706,0.332935811995791,2844060130.0,1.0,10090070.0
SXT,60.105,96.04,0.468671738596835,38.53,120.78,1.368438565843108,1.64388543878007e-05,0.005424124090710726,0.002756410571458226,0.3227990178884602,1030411807.0,0.9999298491757278,847202.0
RLI,24.7875,61.86,0.9145342734110091,23.365,90.665,2.715078164397378,3.207766655238788e-05,0.0051573725586023965,0.0026285368426596043,0.32209750964573836,1466061215.0,0.9999298491757278,652917.0
V,66.2475,313.16,1.5533165137344536,61.5025,375.34,4.737348579191667,5.448321689699146e-05,0.004762965789234991,0.0022840661068778533,0.3184145913714486,26512954688.0,0.9999298491757278,11939222.0
CVS,95.89,76.29,-0.22865983306345178,43.74,113.44,0.7268745437480445,-8.02033788366178e-06,0.0057261890562012785,0.0026547508098390565,0.3211855489301999,28135633534.0,1.0,19050532.0
DIS,94.1,105.22,0.11169534971132734,78.82,201.92,1.308182784272051,3.917760424805422e-06,0.005514252185894697,0.0025384442210634635,0.3190810242020344,36349249740.0,0.9999298491757278,25493864.0
